"creation_year","BorrowerState","AVGCreditScoreRangeLower","AVGCreditScoreRangeUpper","AVGBorrowerRate","AVGMonthlyLoanPayment","AVGDebtToIncomeRatio","AVGStatedMonthlyIncome"
2007,"AK",680,699,0.135,207.99,0.16,5583.333333
2007,"AL",620,639,0.22,140.345,0.21,3333.333333
2007,"AR",760,779,0.08,147.71,0.15,5000
2007,"AZ",640,659,0.192,182.89,0.24,4000
2007,"CA",640,659,0.1919,201.45,0.21,4541.666667
2007,"CO",660,679,0.161,183.61,0.205,4325.7916665
2007,"CT",720,739,0.095,142.055,0.13,5583.333333
2007,"DC",700,719,0.1355,220.86,0.33,2916.666667
2007,"DE",760,779,0.0715,157.24,0.2,5000
2007,"FL",680,699,0.135,176.45,0.2,4166.666667
2007,"GA",640,659,0.18,187.18,0.21,4000
2007,"HI",710,729,0.0925,266.74,0.215,4000
2007,"IA",660,679,0.1544,157.25,0.23,3073
2007,"ID",620,639,0.2,183.28,0.21,3125
2007,"IL",640,659,0.1974,168.47,0.2,3779.833333
2007,"IN",660,679,0.15,147.15,0.22,3425
2007,"KS",660,679,0.15445,181.765,0.225,3649.2083335
2007,"KY",690,709,0.1597,531.33,0.275,3875
2007,"LA",700,719,0.1125,161.45,0.23,3166.666667
2007,"MA",700,719,0.131,269.82,0.19,4838.2083335
2007,"MD",680,699,0.16,306.56,0.2,5088.75
2007,"ME",660,679,0.15,106.27,0.21,3333.333333
2007,"MI",640,659,0.1895,155.785,0.21,3750
2007,"MN",640,659,0.18,175.49,0.2,3750
2007,"MO",620,639,0.205,154.84,0.21,3166.666667
2007,"MS",660,679,0.1925,137.12,0.24,2664.166667
2007,"MT",640,659,0.2,170.35,0.28,3333.333333
2007,"NC",660,679,0.16,152.33,0.21,3666.666667
2007,"ND",620,639,0.1925,155.015,0.23,2551.9166665
2007,"NE",690,709,0.13,166.485,0.23,3631.9166665
2007,"NH",680,699,0.16,380.52,0.25,4041.666667
2007,"NJ",710,729,0.12415,154.39,0.165,5375
2007,"NM",600,619,0.208,179.89,0.2,3800
2007,"NY",700,719,0.12,169.68,0.16,4639.666667
2007,"OH",640,659,0.17,153.8,0.24,3615
2007,"OK",640,659,0.15,172.38,0.23,3583.333333
2007,"OR",640,659,0.18,166.325,0.215,3333.333333
2007,"PA",600,619,0.05,30.135,0.15,3600
2007,"SC",740,759,0.1012,127.49,0.185,3719.7916665
2007,"TN",740,759,0.0925,121.305,0.105,5248.458333
2007,"TX",640,659,0.17,190.95,0.22,4166.666667
2007,"UT",640,659,0.182,165.48,0.22,3333.333333
2007,"VA",760,779,0.099,157.26,0.15,6041.6666665
2007,"VT",680,699,0.13,128.97,0.21,2916.666667
2007,"WA",640,659,0.1715,162.28,0.21,3750
2007,"WI",680,699,0.13725,155.82,0.21,3687.5
2007,"WV",680,699,0.135,123.52,0.22,4390.666667
2007,"WY",730,749,0.12925,189.585,0.195,4700.5
2008,"AK",690,709,0.14,111.145,0.245,4750
2008,"AL",620,639,0.21,113.03,0.22,3750
2008,"AR",620,639,0.2,116.13,0.24,3583.333333
2008,"AZ",680,699,0.16715,146.69,0.23,4000
2008,"CA",660,679,0.177,168.47,0.21,4583.333333
2008,"CO",660,679,0.1515,163.22,0.22,4166.666667
2008,"CT",660,679,0.1665,169.05,0.17,4333.333333
2008,"DC",660,679,0.15,191.36,0.19,4500
2008,"DE",700,719,0.14825,129.895,0.275,3458.333333
2008,"FL",680,699,0.1485,163.22,0.22,3916.666667
2008,"GA",660,679,0.165,170.7,0.23,4166.666667
2008,"HI",640,659,0.16225,102.5,0.28,3856.625
2008,"IA",660,679,0.15,113.09,0.26,3333.333333
2008,"ID",630,649,0.19275,134.215,0.23,2916.666667
2008,"IL",660,679,0.17,151.45,0.21,4166.666667
2008,"IN",660,679,0.155,112.94,0.22,3333.333333
2008,"KS",660,679,0.15,144.91,0.27,3500
2008,"KY",640,659,0.1685,127.88,0.23,3750
2008,"LA",660,679,0.17,106.13,0.26,3433.333333
2008,"MA",660,679,0.1515,171.37,0.19,4500
2008,"MD",680,699,0.1515,202.99,0.2,4700
2008,"ME",670,689,0.1415,129.69,0.25,3250
2008,"MI",650,669,0.1749,129.7,0.22,3833.333333
2008,"MN",660,679,0.155,162.39,0.22,3750
2008,"MO",640,659,0.18,135.71,0.24,3333.333333
2008,"MS",640,659,0.2,114.03,0.2,3428
2008,"MT",640,659,0.1865,123.27,0.3,2995
2008,"NC",660,679,0.1624,135.71,0.22,3750
2008,"ND",630,649,0.23445,97.96,0.275,2822.4166665
2008,"NE",660,679,0.15,141.43,0.22,3655
2008,"NH",650,669,0.17975,224.99,0.25,4083.375
2008,"NJ",680,699,0.141,141.22,0.19,4666.666667
2008,"NM",640,659,0.199,125.575,0.23,3850
2008,"NV",660,679,0.19,134.59,0.2,5000
2008,"NY",660,679,0.1485,132.02,0.18,4375
2008,"OH",660,679,0.16175,158.55,0.235,3658.3333335
2008,"OK",640,659,0.15625,108.295,0.25,3482.9583335
2008,"OR",640,659,0.165,135.6,0.2,3333.333333
2008,"PA",640,659,0.17295,110.765,0.22,3733.3333335
2008,"RI",640,659,0.177,99.14,0.21,4157.5
2008,"SC",680,699,0.1525,156.405,0.25,4166.666667
2008,"TN",660,679,0.16065,134.685,0.22,3458.3333335
2008,"TX",720,739,0.1045,154.5,0.19,4583.333333
2008,"UT",640,659,0.18,133.42,0.19,3583.333333
2008,"VA",680,699,0.1498,163.22,0.2,4583.333333
2008,"VT",700,719,0.1355,116.29,0.2,3583.333333
2008,"WA",660,679,0.155,152.94,0.215,4045.8333335
2008,"WI",660,679,0.1481,128.705,0.21,3312.333333
2008,"WV",680,699,0.1561,101.335,0.315,3375
2008,"WY",640,659,0.149,124.18,0.28,4208.3333335
2009,"AK",730,749,0.1802,295.13,0.105,10083.333333
2009,"AL",680,699,0.2265,123.05,0.2,3817.833333
